ID,Protein Name,Hits
tr|A0A2R8ZHC5|A0A2R8ZHC5_PANPA|21-179,Glucagon,0
tr|A0A2R8ZXH5|A0A2R8ZXH5_PANPA|28-96,Progonadoliberin,0
tr|A0A2R9AZ29|A0A2R9AZ29_PANPA|21-144,Luteinizing hormone subunit beta,0
tr|A0A2R9A6U9|A0A2R9A6U9_PANPA|20-134,Vasopressin-neurophysin 2-copeptin,0
tr|A0A2R8ZWW2|A0A2R8ZWW2_PANPA|21-200,Lipocalin 2,0
tr|A0A2R9BFN6|A0A2R9BFN6_PANPA|24-222,Prolactin,0
tr|A0A2R9A3P3|A0A2R9A3P3_PANPA|26-115,Parathyroid hormone,0
9597_0:003017,"{""organism"":""Pan paniscus"",""genome_id"":""GCF_013052645.1"",""pub_prot_id"":""XP_003806075.2"",""pub_gene_id"":""SCT"",""description"":""secretin""}",0
tr|A0A2R9B5V6|A0A2R9B5V6_PANPA|20-108,Somatoliberin,0
tr|A0A2R8ZYR1|A0A2R8ZYR1_PANPA|25-116,Somatostatin,0
tr|A0A2R9AD99|A0A2R9AD99_PANPA|21-442,Transforming growth factor beta,74
tr|A0A2R9AI79|A0A2R9AI79_PANPA|30-390,Transforming growth factor beta,89
tr|A0A2R9AI79|A0A2R9AI79_PANPA|275-390,Transforming growth factor beta,94
tr|A0A2R9C4N0|A0A2R9C4N0_PANPA|25-240,Pro-thyrotropin-releasing hormone,0
tr|A0A2R8ZGR1|A0A2R8ZGR1_PANPA|89-233,Tumor necrosis factor,2
tr|A0A2R9AJU1|A0A2R9AJU1_PANPA|22-353,Thrombopoietin,0
tr|A0A2R9AA40|A0A2R9AA40_PANPA|22-115,Guanylin,0
tr|A0A2R9BDN8|A0A2R9BDN8_PANPA|27-112,Guanylate cyclase activator 2B,0
tr|A0A2R9BZJ1|A0A2R9BZJ1_PANPA|25-84,Hepcidin antimicrobial peptide,0
tr|A0A2R9ATQ5|A0A2R9ATQ5_PANPA|23-89,Islet amyloid polypeptide,0
tr|A0A2R8ZF45|A0A2R8ZF45_PANPA|49-196,Insulin-like growth factor I,13
tr|A0A2R9BD91|A0A2R9BD91_PANPA|21-426,Inhibin beta A chain,53
tr|A0A2R9BDM8|A0A2R9BDM8_PANPA|28-198,Interleukin-6,62
tr|A0A2R9C3W5|A0A2R9C3W5_PANPA|25-110,Insulin,7
tr|A0A2R9BAY3|A0A2R9BAY3_PANPA|25-180,Insulin-like growth factor II,13
tr|A0A2R9B6N0|A0A2R9B6N0_PANPA|22-167,Leptin,0
tr|A0A2R9A8A9|A0A2R9A8A9_PANPA|34-131,Orexin,0
tr|A0A2R9CDC0|A0A2R9CDC0_PANPA|24-100,Osteocalcin,0
tr|A0A2R9AJZ0|A0A2R9AJZ0_PANPA|25-176,Pituitary adenylate cyclase-activating polypeptide,0
tr|A0A2R9AJZ0|A0A2R9AJZ0_PANPA|132-154,Pituitary adenylate cyclase-activating polypeptide,0
tr|A0A2R9BJ11|A0A2R9BJ11_PANPA|19-95,Pancreatic polypeptide,0
tr|A0A2R9CRY2|A0A2R9CRY2_PANPA|21-267,Proenkephalin-A,0
tr|A0A2R9BC99|A0A2R9BC99_PANPA|19-108,Resistin,0
tr|A0A2R8ZRM0|A0A2R8ZRM0_PANPA|25-185,Relaxin 2,0
tr|A0A2R9A8Q9|A0A2R9A8Q9_PANPA|20-180,Relaxin 1,0
tr|A0A2R8ZRK9|A0A2R8ZRK9_PANPA|26-142,Relaxin-3,0
tr|A0A2R9C9Q7|A0A2R9C9Q7_PANPA|19-201,Retinol-binding protein,0
tr|A0A2R9C0Y1|A0A2R9C0Y1_PANPA|24-406,Renin,1
tr|A0A2R9AHW6|A0A2R9AHW6_PANPA|17-138,Thyrotropin subunit beta,0
tr|A0A2R9AEX1|A0A2R9AEX1_PANPA|26-170,Vasoactive intestinal peptide,0
tr|A0A2R9AEX1|A0A2R9AEX1_PANPA|81-103,Vasoactive intestinal peptide,0
tr|A0A2R9AEX1|A0A2R9AEX1_PANPA|125-147,Vasoactive intestinal peptide,0
