ID,Protein Name,Hits
sp|P35455|NEU2_MOUSE|130-168,Vasopressin-neurophysin 2-copeptin,0
sp|P11672|NGAL_MOUSE|21-200,Neutrophil gelatinase-associated,0
sp|P35454|NEU1_MOUSE|32-125,Oxytocin-neurophysin 1 OS=Mus musculus,0
sp|P06879|PRL_MOUSE|30-226,Prolactin OS=Mus musculus OX=10090 GN=Prl,0
tr|Q9Z0L6|Q9Z0L6_MOUSE|26-115,Parathyroid hormone OS=Mus musculus,0
sp|Q08535|SECR_MOUSE|32-58,Secretin OS=Mus musculus OX=10090 GN=Sct,0
sp|P16043|SLIB_MOUSE|31-72,Somatoliberin OS=Mus musculus OX=10090,0
sp|P60041|SMS_MOUSE|89-116,Somatostatin OS=Mus musculus OX=10090,0
sp|P60041|SMS_MOUSE|103-116,Somatostatin OS=Mus musculus OX=10090,0
sp|P27090|TGFB2_MOUSE|21-302,Transforming growth factor beta-2,0
sp|P27090|TGFB2_MOUSE|303-414,Transforming growth factor beta-2,7
sp|P04202|TGFB1_MOUSE|30-278,Transforming growth factor beta-1,0
sp|P04202|TGFB1_MOUSE|279-390,Transforming growth factor beta-1,8
sp|Q62361|TRH_MOUSE|25-256,Pro-thyrotropin-releasing hormone OS=Mus,0
sp|P06804|TNFA_MOUSE|80-235,Tumor necrosis factor OS=Mus musculus,1
sp|P40226|TPO_MOUSE|22-356,Thrombopoietin OS=Mus musculus OX=10090,0
sp|P33680|GUC2A_MOUSE|24-101,Guanylin OS=Mus musculus OX=10090,0
sp|P33680|GUC2A_MOUSE|102-116,Guanylin OS=Mus musculus OX=10090,0
sp|O09051|GUC2B_MOUSE|92-106,Guanylate cyclase activator 2B OS=Mus,0
sp|Q9EQ21|HEPC_MOUSE|59-83,Hepcidin OS=Mus musculus OX=10090 GN=Hamp,0
sp|P12968|IAPP_MOUSE|38-74,Islet amyloid polypeptide OS=Mus musculus,0
sp|P05017|IGF1_MOUSE|49-118,Insulin-like growth factor I OS=Mus,4
sp|Q04998|INHBA_MOUSE|309-424,Inhibin beta A chain OS=Mus musculus,5
tr|A0A0G2JGF4|A0A0G2JGF4_MOUSE|25-165,Interleukin-6 OS=Mus musculus,1
sp|P01325|INS1_MOUSE|25-54,Insulin-1 OS=Mus musculus OX=10090,2
sp|P01326|INS2_MOUSE|25-54,Insulin-2 OS=Mus musculus OX=10090,2
sp|P01325|INS1_MOUSE|88-108,Insulin-1 OS=Mus musculus OX=10090,0
sp|P01326|INS2_MOUSE|90-110,Insulin-2 OS=Mus musculus OX=10090,0
sp|P09535|IGF2_MOUSE|25-91,Insulin-like growth factor II OS=Mus,3
sp|P41160|LEP_MOUSE|22-167,Leptin OS=Mus musculus OX=10090 GN=Lep,0
sp|O55241|OREX_MOUSE|33-65,Hypocretin neuropeptide precursor OS=Mus,0
sp|O55241|OREX_MOUSE|69-96,Hypocretin neuropeptide precursor OS=Mus,0
sp|P86546|OSTCN_MOUSE|50-95,Osteocalcin OS=Mus musculus OX=10090,0
sp|O70176|PACA_MOUSE|81-128,Pituitary adenylate cyclase-activating,0
sp|O70176|PACA_MOUSE|131-168,Pituitary adenylate cyclase-activating,0
sp|O70176|PACA_MOUSE|131-157,Pituitary adenylate cyclase-activating,0
sp|P10601|PAHO_MOUSE|30-65,Pancreatic polypeptide prohormone OS=Mus,0
sp|P10601|PAHO_MOUSE|69-100,Pancreatic polypeptide prohormone OS=Mus,0
sp|P22005|PENK_MOUSE|25-97,Proenkephalin-A OS=Mus musculus OX=10090,0
sp|P22005|PENK_MOUSE|114-133,Proenkephalin-A OS=Mus musculus,0
sp|Q99P87|RETN_MOUSE|21-114,Resistin OS=Mus musculus OX=10090,0
tr|A2RTV8|A2RTV8_MOUSE|23-185,Relaxin 1 OS=Mus musculus OX=10090,0
sp|Q8CHK2|REL3_MOUSE|25-51,Relaxin-3 OS=Mus musculus OX=10090,0
sp|Q8CHK2|REL3_MOUSE|118-141,Relaxin-3 OS=Mus musculus OX=10090,0
sp|P06281|RENI1_MOUSE|72-402,Renin-1 OS=Mus musculus OX=10090,0
tr|E9Q4F3|E9Q4F3_MOUSE|19-138,Thyrotropin subunit beta OS=Mus,0
sp|P32648|VIP_MOUSE|81-122,VIP peptides OS=Mus musculus OX=10090,0
sp|P32648|VIP_MOUSE|81-107,VIP peptides OS=Mus musculus OX=10090,0
sp|P32648|VIP_MOUSE|125-152,VIP peptides OS=Mus musculus OX=10090,0
sp|P35455|NEU2_MOUSE|24-32,Vasopressin-neurophysin 2-copeptin OS=Mus,0
sp|P22005|PENK_MOUSE|100-104,Proenkephalin-A OS=Mus musculus,0
sp|P22005|PENK_MOUSE|107-111,Proenkephalin-A OS=Mus musculus,0
sp|P13562|GON1_MOUSE|22-31,Progonadoliberin-1 OS=Mus musculus,0
